date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:10	164/164	---M--	200	added ('OK')	text/plain	etag:%2262392b53-a4%22	https://qrcodescan.in/robots.txt		(from )
19:17:10	9247/9247	---M-Z	200	added ('OK')	text/html	etag:W/%2262392b53-241f%22	https://qrcodescan.in/	C:/Users/DELL/Desktop/scaner%20final%20sirve/qrcodescan.in/index.html	(from )
19:17:10	3700/3700	---M--	200	added ('OK')	image/png	etag:%2262392b53-e74%22	https://qrcodescan.in/images/touch/mstile-150x150.png	C:/Users/DELL/Desktop/scaner%20final%20sirve/qrcodescan.in/images/touch/mstile-150x150.png	(from https://qrcodescan.in/)
19:17:10	7189/7189	---M--	200	added ('OK')	image/jpeg	etag:%2262392b53-1c15%22	https://qrcodescan.in/images/touch/apple-touch-icon.jpg	C:/Users/DELL/Desktop/scaner%20final%20sirve/qrcodescan.in/images/touch/apple-touch-icon.jpg	(from https://qrcodescan.in/)
19:17:10	1164/1164	---M--	200	added ('OK')	image/png	etag:%2262392b53-48c%22	https://qrcodescan.in/images/touch/favicon-32x32.png	C:/Users/DELL/Desktop/scaner%20final%20sirve/qrcodescan.in/images/touch/favicon-32x32.png	(from https://qrcodescan.in/)
19:17:11	661/661	---M--	200	added ('OK')	image/png	etag:%2262392b53-295%22	https://qrcodescan.in/images/touch/favicon-16x16.png	C:/Users/DELL/Desktop/scaner%20final%20sirve/qrcodescan.in/images/touch/favicon-16x16.png	(from https://qrcodescan.in/)
19:17:11	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2262392b53-3aee%22	https://qrcodescan.in/images/touch/favicon.ico	C:/Users/DELL/Desktop/scaner%20final%20sirve/qrcodescan.in/images/touch/favicon.ico	(from https://qrcodescan.in/)
19:17:11	953/953	---M-Z	200	added ('OK')	application/json	etag:W/%2262392b53-3b9%22	https://qrcodescan.in/manifest.json	C:/Users/DELL/Desktop/scaner%20final%20sirve/qrcodescan.in/manifest.json	(from https://qrcodescan.in/)
19:17:11	7843/7843	---M-Z	200	added ('OK')	text/css	etag:W/%2262392b53-1ea3%22	https://qrcodescan.in/bundle.css	C:/Users/DELL/Desktop/scaner%20final%20sirve/qrcodescan.in/bundle.css	(from https://qrcodescan.in/)
19:17:12	3540781/3540781	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262392b53-36072d%22	https://qrcodescan.in/decoder.js	C:/Users/DELL/Desktop/scaner%20final%20sirve/qrcodescan.in/decoder.js	(from https://qrcodescan.in/)
19:17:12	159250/159250	---MC-	200	added ('OK')	text/javascript	date:Sun,%2003%20Apr%202022%2000:17:13%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/DELL/Desktop/scaner%20final%20sirve/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://qrcodescan.in/)
19:17:12	4522/4522	---M-Z	200	added ('OK')	application/javascript	etag:W/%2211aa-TBTu4MOac5ffp326dKgmFiK2WUU%22	https://cdn.jsdelivr.net/npm/pwacompat@2.0.6/pwacompat.min.js	C:/Users/DELL/Desktop/scaner%20final%20sirve/cdn.jsdelivr.net/npm/pwacompat@2.0.6/pwacompat.min.js	(from https://qrcodescan.in/)
19:17:12	5773/5773	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262392b53-168d%22	https://qrcodescan.in/bundle.js	C:/Users/DELL/Desktop/scaner%20final%20sirve/qrcodescan.in/bundle.js	(from https://qrcodescan.in/)
